VILLAGE,7Q2_,7Q10_,MeanFlow_,MedianFlow_
Vatia,0.17953230135232442,0.07169793095230685,1.7631556428126711,0.8799174167844738
Tula,0.08300280789443863,0.031041977751301367,0.8118148528859184,0.3911133681201072
Onenoa,0.09925430119746144,0.04022536678757113,0.637109936534747,0.3084911156103637
Sailele,0.07056040618025068,0.027534334774363216,0.4872390312340025,0.23266560076915996
Masefau,0.18228917959238752,0.07335034723541084,1.3403110895330739,0.6574227119183906
Masausi,0.08071811550909842,0.03166373998049161,0.6111649256001473,0.29479994654064734
Aoa,0.09846665823593391,0.03690107099081722,1.0192961640215243,0.49433873463837585
Alao,0.12732522278789254,0.050334189907464064,0.9851308922341494,0.47966709136337915
Afono,0.36251473160671577,0.15711555640880617,2.1490428729198277,1.0779249421916404
Aua,0.2143122407826871,0.09023200969156583,1.580666806569394,0.7914123078025423
Pagai,0.08856837056863616,0.035523770182791785,0.56205086584263,0.2704491702718423
Fagaitua,0.14335814365759914,0.058497172088297654,0.8947645189548813,0.4352379806342115
Amaua,0.09843304015080931,0.04062427019946957,0.601254789150802,0.29226220143375037
Auasi,0.07782357269777823,0.03043752670456563,0.6577196932877796,0.31923202450201915
Auto,0.16876667484723348,0.06955820219352198,1.0456598968415693,0.511328753545743
Alofau,0.07342086672340009,0.029146857300442783,0.44438602243056213,0.2118042499958802
Amouli,0.05774229414910013,0.021075663697328682,0.6092580083798667,0.2910838250733677
Alega,0.14220326628778585,0.0574340083475534,1.0301621128862035,0.5042543492443853
Fagatogo,0.12029679150162519,0.05034816859482303,0.6814950385735296,0.3320875173054002
Avaio,0.02817490700646781,0.010900296906530145,0.19178383174468994,0.0903104914692025
PagoPago,0.3878748498385445,0.1731015833577355,1.925545709009147,0.9659713708497456
Utulei,0.042414181107904285,0.016918938990244034,0.2517395020739225,0.1193834131262724
Laulii,0.28150149577654515,0.11816978749991691,2.086553279406386,1.0467100945997905
Aumi,0.09422545740909884,0.037700571015139905,0.6276375984271467,0.30293682690786367
Fagaalu,0.4119567355514252,0.17907329222419927,2.875267297375855,1.4627076106587151
Fagasa,0.2652588807330905,0.1103830063319134,2.0933844441658733,1.0503954432730764
Matuu,0.29146425124644315,0.1292966315276611,1.659821250447715,0.8363000284021466
Faganeanea,0.30908579425864696,0.13831050395090275,1.7731309155287303,0.8976032815287918
Nuuuli,0.519406535494366,0.23103638581511013,3.0717186873480467,1.5627808007179285
Nuuuli,0.519406535494366,0.23103638581511013,3.0717186873480467,1.5627808007179285
Nuuuli,0.4107329062185342,0.18558216633469707,2.18571211572207,1.1081884992507853
Nuuuli,0.4107329062185342,0.18558216633469707,2.18571211572207,1.1081884992507853
Fagamalo,0.11625582129593288,0.04535327605400131,0.8780373947394303,0.5238940308014829
Fagalii,0.150971573916477,0.05981370074533284,1.0850212543710642,0.644960168834019
Maloata,0.3406366151632805,0.1374908989560381,2.517804890498939,1.4885397476254074
Poloa,0.08051023831088748,0.0315323121121775,0.550301135527934,0.3275066454154402
Amanave,0.05093520854804449,0.018900352289607757,0.42688836005595654,0.25443718689064526
Asili,0.2490042675030427,0.09935147302200074,1.8651268489977484,1.105280343175526
Seetaga,0.14379992053401883,0.05393827833499997,1.3557413069018538,0.8050481155646872
UtumeaWest,0.06371887428168194,0.024638613064485306,0.45645772720511313,0.27304699905765784
Failolo,0.03022291951987657,0.011604417339197228,0.19618866386510478,0.11740871247229834
Afao,0.08462285226006917,0.03316277235598492,0.5858706079627521,0.34919076871844823
Agugulu,0.061328363330010766,0.02368956738462587,0.4336274608162022,0.2587402043079995
Leone,0.3760832909701517,0.14915684535858822,3.1075681458369737,1.8379321441212226
Amaluia,0.1004659124567136,0.03704254827500822,0.968504880023464,0.5749535037345004
