,SiteNativeID,Amount_(GPM),Lat,Long
0,Aasu_Well_128,21.53004284,-14.309801,-170.771491
1,Afono_Well_176,31.453843,-14.26778,-170.65048
2,Alao_Well_161,18.94775414,-14.26244,-170.56889
3,Aoa_Well_151,3.178203557,-14.26502,-170.58598
4,Aoa_Well_152,18.59438013,-14.26459,-170.58577
5,Aua_Well_97,141.5997679,-14.2687,-170.66118
6,Aua_Well_99,139.7062433,-14.26776,-170.6607
7,Aunuu_Well_302,191.2523436,-14.286658,-170.556946
8,Fagaalu_Well_179,19.57103604,-14.291027,-170.688929
9,Fagaitua_Well_164,11.03459919,-14.26756,-170.61795
10,Fagasa_Well_143,62.11673481,-14.29271,-170.72527
11,Fagasa_Well_144,0.000786674,-14.290934,-170.725792
12,Fagatogo_Well_101,351.2754295,-14.28003,-170.6938
13,Iliili_Well_167,182.8474519,-14.341723,-170.747101
14,Iliili_Well_62,66.84391536,-14.347566,-170.748702
15,Iliili_Well_76,99.2156387,-14.346342,-170.747227
16,Iliili_Well_84,179.6173597,-14.34597,-170.74276
17,Leone_Well_119,238.6604073,-14.34596,-170.76707
18,Malaeimi_Well_1,16.41271927,-14.31205,-170.732809
19,Malaeimi_Well_67,237.0335652,-14.31895,-170.73769
20,Malaeimi_Well_81,326.2313967,-14.320566,-170.732212
21,Malaeloa_Well_15,222.7753965,-14.334561,-170.774604
22,Malaeloa_Well_168,257.4178649,-14.33358,-170.77082
23,Malaeloa_Well_169,370.8505413,-14.33337,-170.77319
24,Malaeloa_Well_70,161.338725,-14.33971,-170.77473
25,Malaeloa_Well_83,265.4167674,-14.336,-170.76941
26,Malaeloa_Well_91,206.9173199,-14.34232,-170.76744
27,Malaeloa_Well_93,163.5671156,-14.34348,-170.76787
28,Masefau_Well_241,18.67737582,-14.25994,-170.63665
29,Masefau_Well_242,14.68799246,-14.26088,-170.63721
30,Mesepa_Well_6,119.7309005,-14.32383,-170.748014
31,Mesepa_Well_85,317.2467916,-14.3258,-170.74657
32,Nuuuli_Well_24,0,-14.269242,-170.704879
33,Ofu_Well_201,20.40703463,-14.170883,-169.676933
34,Ofu_Well_202,31.38883674,-14.171533,-169.676867
35,Olosega_Well_204,0.00185523,-14.179317,-169.6206
36,Pago Pago_Well_105,85.23107451,-14.277783,-170.705284
37,Pago Pago_Well_107,328.3528012,-14.27862,-170.70548
38,Pago Pago_Well_163,136.6633878,-14.27419,-170.70697
39,Pago Pago_Well_165,142.381722,-14.279785,-170.706484
40,Pago Pago_Well_183,55.35275962,-14.282711,-170.710093
41,Pavaiai_Well_171,250.6107738,-14.33373,-170.74288
42,Pavaiai_Well_172,236.0313424,-14.33531,-170.74393
43,Pavaiai_Well_177,308.8133304,-14.33637,-170.75013
44,Pavaiai_Well_178,97.1109865,-14.33649,-170.75482
45,Poloa_Well_181,5.795727164,-14.31095,-170.827017
46,Tafuna_Well_33,178.4714341,-14.32437,-170.73215
47,Tafuna_Well_60,264.3980244,-14.326048,-170.734517
48,Tafuna_Well_61,251.5500627,-14.32686,-170.73554
49,Tafuna_Well_66,272.5347353,-14.324556,-170.73248
50,Tafuna_Well_72,298.4719485,-14.32154,-170.73219
51,Tafuna_Well_77,261.4967702,-14.32273,-170.73214
52,Tau_Well_207,36.66617264,-14.218809,-169.423106
53,Tau_Well_213,84.49174834,-14.226744,-169.505011
54,Vatia_Well_170,6.053457338,-14.25455,-170.66925
55,Vatia_Well_180,19.41118386,-14.25476,-170.66857
